agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Coello; Espinal,2,1.5748031496062993,0.4889975550122249
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Ortega; Rovira,1,0.7874015748031497,0.2444987775061124
