scenario,clase,n_observed,total,pct_observed,area_km2,pct_area,expected_n,enrichment
A,Coincidencia directa,132,432,30.55555555555556,4496.034775864808,18.634017590434773,80.49895599067823,1.6397728191069412
A,Hasta 1 km,108,432,25.0,3122.2761455688824,12.940413390715923,55.9025858478928,1.9319320987022104
A,Entre 1 y 5 km,150,432,34.72222222222222,7512.866792626092,31.137413064484136,134.51362443857147,1.1151286765639172
A,A más de 5 km,42,432,9.72222222222222,8996.92431248717,37.288155954365166,161.08483372285752,0.2607321808598068
B,Coincidencia directa,127,409,31.051344743276285,4496.034775864808,18.634017590434773,76.21313194487823,1.6663794907661558
B,Hasta 1 km,108,409,26.405867970660147,3122.2761455688824,12.940413390715923,52.92629076802813,2.040573757064437
B,Entre 1 y 5 km,136,409,33.251833740831295,7512.866792626092,31.137413064484136,127.35201943374013,1.0679061125588143
B,A más de 5 km,38,409,9.290953545232274,8996.92431248717,37.288155954365166,152.50855785335352,0.2491663453833152
