agency,n_observed,total,pct_observed,area_km2,pct_area,expected_n,enrichment,agencia
ANM,127,409,31.051344743276285,4496.034775864808,18.634017590434773,76.21313194487823,1.6663794907661558,Agencia Nacional de Minería
ANLA,143,409,34.96332518337408,3643.6217421150345,15.101153576465064,61.76371812774212,2.3152751216214327,Autoridad Nacional de Licencias Ambientales
ANH,187,409,45.72127139364303,5290.892857539744,21.92834252656275,89.68692093364164,2.0850308835817786,Agencia Nacional de Hidrocarburos
