target_oid,cand_id,agency,pattern,n_events,n_dates,n_hotspots,direct,distance_m,spatial_class
1,FT_001,ANLA,RECURRENTE_ALTA,7,7,8,False,610.157118063846,PROXIMA_1KM
2,FT_002,ANLA,RECURRENTE_MEDIA,3,3,7,True,0.0,DIRECTA
