scenario,clase,n_observed,total,pct_observed,area_km2,pct_area,expected_n,enrichment
A,Coincidencia directa,151,432,34.9537037037037,3643.6217421150345,15.101153576465064,65.23698345032908,2.314637986211766
A,Hasta 1 km,58,432,13.425925925925926,1138.5514300205457,4.718777418828277,20.38511844933816,2.8452128028661554
A,Entre 1 y 5 km,94,432,21.75925925925926,3734.975064718255,15.479771515425652,66.87261294663882,1.4056576505393554
A,A más de 5 km,129,432,29.86111111111111,15610.953789693118,64.700297489281,279.50528515369393,0.4615297343270833
B,Coincidencia directa,143,409,34.96332518337408,3643.6217421150345,15.101153576465064,61.76371812774212,2.3152751216214327
B,Hasta 1 km,56,409,13.691931540342296,1138.5514300205457,4.718777418828277,19.299799643007656,2.901584526049154
B,Entre 1 y 5 km,86,409,21.026894865525676,3734.975064718255,15.479771515425652,63.31226549809092,1.3583465908765056
B,A más de 5 km,124,409,30.317848410757943,15610.953789693118,64.700297489281,264.62421673115927,0.4685890109822254
