agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Coello; Espinal,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Guamo; San Luis,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Ortega; Rovira,1,0.5347593582887701,0.2444987775061124
