target_oid,cand_id,agency,pattern,n_events,n_dates,n_hotspots,direct,distance_m,spatial_class
1,FT_001,ANH,RECURRENTE_ALTA,7,7,8,True,0.0,DIRECTA
2,FT_002,ANH,RECURRENTE_MEDIA,3,3,7,False,6576.311879763008,SIN_COINCIDENCIA_5KM
