source_uid,source_name,episodios_hasta_5km,hotspots_relacionados,distancia_min_m,distancia_max_m,provincia_geologica,fecha_consulta
PSDN0001,POSEIDON-1,1,1,2432.2285002010667,2432.2285002010667,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TETU0003,TETUAN-3,1,2,2490.538824903684,2815.7244713803007,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
CHEN0001,CHENCHE-1,1,1,2532.790726310772,2532.790726310772,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ABAN0020,ABANICO-20,1,1,2834.1685412156453,2834.1685412156453,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ABAN0005,ABANICO-5,1,1,2873.814947791672,2873.814947791672,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
K0000001,K-1,1,1,2913.400788133414,2913.400788133414,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
HADS0001,HADES-1,1,3,3197.922689461966,3575.395490457832,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
MEND0001,MENDEZ-1,1,2,3272.411257865868,3676.135822065909,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
SAPO0001,EL SAPO-1,1,2,3386.4289500605514,3530.7408638091765,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
9381,GUANDO-6 ST1,1,1,3570.646363015841,3570.646363015841,CORDILLERA-ORIENTAL,2026-07-21 00:00:00
CHIR0002,CHIRIPA-2,1,3,3594.453158401212,3772.335063557237,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
10033,PURIFICACION-7,1,1,3668.7539623487496,3668.7539623487496,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SUAR0001,SUAREZ-1,1,3,3734.438373749954,3980.678663268368,CORDILLERA-ORIENTAL,2026-07-21 00:00:00
TIJE0001,TIJERAS-1,1,5,3752.553816909772,4363.9488962361565,CORDILLERA-ORIENTAL,2026-07-21 00:00:00
CHIR0001,CHIRIPA-1,1,1,3798.205042411928,3798.205042411928,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
GEOP0001,GEOPOZOS-1,1,1,3936.070716763297,3936.070716763297,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ANOI0001X,ANH-OLINI-1X,1,1,4160.409639943499,4160.409639943499,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ANKA0001,ANKARA-1,1,1,4212.94902827079,4212.94902827079,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
GOUD0001,GOUDA-1,1,3,4668.41802630097,4860.492807417037,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SSSS0002,S-2 (STRAT XA-2),1,1,4822.8468005033765,4822.8468005033765,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
